ucp-proxy
2018-06-28T17:00:33.124856276Z {"level":"info","msg":"Initializing etcd reverse TLS proxy for port 12379 on managers on :12378","time":"2018-06-28T17:00:33Z"}
2018-06-28T17:00:33.125397328Z {"level":"info","msg":"Initializing kubernetes reverse TLS proxy for port 6443 on managers on :6444","time":"2018-06-28T17:00:33Z"}
2018-06-28T17:00:38.127597536Z {"level":"warning","msg":"Lazy discovery error: unable to obtain docker info: context deadline exceeded","time":"2018-06-28T17:00:38Z"}
2018-06-28T17:00:44.129656080Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T17:00:44Z"}
2018-06-28T17:00:49.132051789Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T17:00:49Z"}
2018-06-28T17:00:50.889364482Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T17:00:50Z"}
2018-06-28T17:00:55.130683029Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T17:00:55Z"}
2018-06-28T17:01:00.132835399Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T17:01:00Z"}
2018-06-28T17:01:03.338030730Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T17:01:03Z"}
2018-06-28T17:01:03.338051611Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T17:01:03Z"}
2018-06-28T17:01:03.338573554Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T17:01:03Z"}
2018-06-28T17:01:03.422569196Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T17:01:03Z"}
2018-06-28T17:01:03.533846799Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T17:01:03Z"}
2018-06-28T17:01:06.131511486Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T17:01:06Z"}
2018-06-28T17:01:10.890109571Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T17:01:10Z"}
2018-06-28T17:01:11.134184347Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T17:01:11Z"}
2018-06-30T18:24:17.587986553Z {"level":"error","msg":"unable to list volumes: context deadline exceeded","time":"2018-06-30T18:24:17Z"}
