ucp-proxy
2018-06-22T15:27:10.606178951Z {"level":"info","msg":"Configuring TLS: ca=/etc/docker/ssl/ca.pem cert=/etc/docker/ssl/cert.pem key=/etc/docker/ssl/key.pem","time":"2018-06-22T15:27:10Z"}
2018-06-28T16:43:01.932830046Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:01Z"}
2018-06-28T16:43:01.933639032Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:01Z"}
2018-06-28T16:43:01.934964576Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:01Z"}
2018-06-28T16:43:03.403170214Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:03Z"}
2018-06-28T16:43:04.770030868Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:04Z"}
2018-06-28T16:43:05.504138856Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:05Z"}
2018-06-28T16:43:10.230023078Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:10Z"}
2018-06-28T16:43:10.250995170Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:10Z"}
2018-06-28T16:43:10.912242816Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:10Z"}
2018-06-28T16:43:10.918270982Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:10Z"}
2018-06-28T16:43:10.919536666Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:10Z"}
2018-06-28T16:43:10.924046372Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:10Z"}
2018-06-28T16:43:10.925764256Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:10Z"}
2018-06-28T16:43:10.927161409Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:10Z"}
2018-06-28T16:43:10.936071667Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:10Z"}
2018-06-28T16:43:10.937361876Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:10Z"}
2018-06-28T16:43:11.807134506Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:11Z"}
2018-06-28T16:43:12.933850845Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:12Z"}
2018-06-28T16:43:12.934625668Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:12Z"}
2018-06-28T16:43:12.935760758Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:12Z"}
2018-06-28T16:43:15.504550144Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:15Z"}
2018-06-28T16:43:17.695899286Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:17Z"}
2018-06-28T16:43:18.823525441Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:18Z"}
2018-06-28T16:43:21.218706047Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:21Z"}
2018-06-28T16:43:21.232087128Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:21Z"}
2018-06-28T16:43:21.918344795Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:21Z"}
2018-06-28T16:43:21.918889200Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:21Z"}
2018-06-28T16:43:21.920243948Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:21Z"}
