ucp-kube-apiserver
2018-06-28T16:42:27.897067342Z I0628 16:42:27.893291       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.897073622Z I0628 16:42:27.893917       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.897079722Z I0628 16:42:27.894616       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.897096545Z I0628 16:42:27.895210       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.897102908Z I0628 16:42:27.895821       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.897109234Z I0628 16:42:27.896443       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.905848706Z W0628 16:42:27.903575       1 genericapiserver.go:311] Skipping API batch/v2alpha1 because it has no resources.
2018-06-28T16:42:28.025046216Z [restful] 2018/06/28 16:42:28 log.go:33: [restful/swagger] listing is available at https://172.31.9.58:6443/swaggerapi
2018-06-28T16:42:28.025068067Z [restful] 2018/06/28 16:42:28 log.go:33: [restful/swagger] https://172.31.9.58:6443/swaggerui/ is mapped to folder /swagger-ui/
2018-06-28T16:42:29.142042478Z [restful] 2018/06/28 16:42:29 log.go:33: [restful/swagger] listing is available at https://172.31.9.58:6443/swaggerapi
2018-06-28T16:42:29.142063200Z [restful] 2018/06/28 16:42:29 log.go:33: [restful/swagger] https://172.31.9.58:6443/swaggerui/ is mapped to folder /swagger-ui/
2018-06-28T16:42:29.277939161Z I0628 16:42:29.265085       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:33.309031753Z I0628 16:42:33.305516       1 serve.go:92] Serving securely on 0.0.0.0:6443
2018-06-28T16:42:33.309055535Z I0628 16:42:33.305764       1 crd_finalizer.go:242] Starting CRDFinalizer
2018-06-28T16:42:33.309064246Z I0628 16:42:33.306586       1 apiservice_controller.go:112] Starting APIServiceRegistrationController
2018-06-28T16:42:33.309069940Z I0628 16:42:33.306613       1 cache.go:32] Waiting for caches to sync for APIServiceRegistrationController controller
2018-06-28T16:42:33.309075823Z I0628 16:42:33.306644       1 available_controller.go:192] Starting AvailableConditionController
2018-06-28T16:42:33.309081500Z I0628 16:42:33.306663       1 cache.go:32] Waiting for caches to sync for AvailableConditionController controller
2018-06-28T16:42:33.309087559Z I0628 16:42:33.308843       1 controller.go:84] Starting OpenAPI AggregationController
2018-06-28T16:42:33.309093050Z I0628 16:42:33.308892       1 crdregistration_controller.go:112] Starting crd-autoregister controller
2018-06-28T16:42:33.309099082Z I0628 16:42:33.308908       1 controller_utils.go:1041] Waiting for caches to sync for crd-autoregister controller
2018-06-28T16:42:33.322027092Z I0628 16:42:33.308935       1 customresource_discovery_controller.go:152] Starting DiscoveryController
2018-06-28T16:42:33.322044494Z I0628 16:42:33.317010       1 naming_controller.go:277] Starting NamingConditionController
2018-06-28T16:42:33.408014567Z I0628 16:42:33.406821       1 cache.go:39] Caches are synced for AvailableConditionController controller
2018-06-28T16:42:33.408034707Z I0628 16:42:33.406821       1 cache.go:39] Caches are synced for APIServiceRegistrationController controller
2018-06-28T16:42:33.412225564Z I0628 16:42:33.412016       1 controller_utils.go:1048] Caches are synced for crd-autoregister controller
2018-06-28T16:42:33.412252882Z I0628 16:42:33.412110       1 autoregister_controller.go:136] Starting autoregister controller
2018-06-28T16:42:33.412260957Z I0628 16:42:33.412120       1 cache.go:32] Waiting for caches to sync for autoregister controller
2018-06-28T16:42:33.512438450Z I0628 16:42:33.512309       1 cache.go:39] Caches are synced for autoregister controller
2018-06-28T16:42:37.154939707Z E0628 16:42:37.154820       1 webhook.go:187] Failed to make webhook authorizer request: Post https://174q5382xmnb2e5a2c4dwyb4g:443/kubeauth: dial tcp 172.31.9.58:443: getsockopt: connection refused
2018-06-28T16:42:37.155057666Z E0628 16:42:37.154973       1 errors.go:90] Post https://174q5382xmnb2e5a2c4dwyb4g:443/kubeauth: dial tcp 172.31.9.58:443: getsockopt: connection refused
2018-06-28T16:42:37.315634969Z E0628 16:42:37.315344       1 webhook.go:187] Failed to make webhook authorizer request: Post https://174q5382xmnb2e5a2c4dwyb4g:443/kubeauth: dial tcp 172.31.9.58:443: getsockopt: connection refused
2018-06-28T16:42:37.315653057Z E0628 16:42:37.315466       1 errors.go:90] Post https://174q5382xmnb2e5a2c4dwyb4g:443/kubeauth: dial tcp 172.31.9.58:443: getsockopt: connection refused
2018-06-28T16:42:37.488071528Z E0628 16:42:37.485385       1 webhook.go:187] Failed to make webhook authorizer request: Post https://174q5382xmnb2e5a2c4dwyb4g:443/kubeauth: dial tcp 172.31.9.58:443: getsockopt: connection refused
2018-06-28T16:42:37.488096326Z E0628 16:42:37.485497       1 errors.go:90] Post https://174q5382xmnb2e5a2c4dwyb4g:443/kubeauth: dial tcp 172.31.9.58:443: getsockopt: connection refused
2018-06-28T16:42:50.319044376Z E0628 16:42:50.318894       1 webhook.go:187] Failed to make webhook authorizer request: Post https://174q5382xmnb2e5a2c4dwyb4g:443/kubeauth: dial tcp 172.31.9.58:443: getsockopt: connection refused
2018-06-28T16:42:50.319132014Z E0628 16:42:50.319045       1 errors.go:90] Post https://174q5382xmnb2e5a2c4dwyb4g:443/kubeauth: dial tcp 172.31.9.58:443: getsockopt: connection refused
2018-06-28T16:43:00.247074470Z E0628 16:43:00.246927       1 webhook.go:187] Failed to make webhook authorizer request: Post https://174q5382xmnb2e5a2c4dwyb4g:443/kubeauth: dial tcp 172.31.9.58:443: getsockopt: connection refused
2018-06-28T16:43:00.247132996Z E0628 16:43:00.247071       1 errors.go:90] Post https://174q5382xmnb2e5a2c4dwyb4g:443/kubeauth: dial tcp 172.31.9.58:443: getsockopt: connection refused
2018-06-28T16:43:09.047399276Z E0628 16:43:09.047262       1 webhook.go:187] Failed to make webhook authorizer request: Post https://174q5382xmnb2e5a2c4dwyb4g:443/kubeauth: dial tcp 172.31.9.58:443: getsockopt: connection refused
2018-06-28T16:43:09.047463798Z E0628 16:43:09.047394       1 errors.go:90] Post https://174q5382xmnb2e5a2c4dwyb4g:443/kubeauth: dial tcp 172.31.9.58:443: getsockopt: connection refused
2018-06-28T16:43:10.597763026Z E0628 16:43:10.597469       1 webhook.go:187] Failed to make webhook authorizer request: Post https://174q5382xmnb2e5a2c4dwyb4g:443/kubeauth: dial tcp 172.31.9.58:443: getsockopt: connection refused
2018-06-28T16:43:10.597786855Z E0628 16:43:10.597569       1 errors.go:90] Post https://174q5382xmnb2e5a2c4dwyb4g:443/kubeauth: dial tcp 172.31.9.58:443: getsockopt: connection refused
2018-06-28T16:43:10.601769661Z E0628 16:43:10.601181       1 webhook.go:187] Failed to make webhook authorizer request: Post https://174q5382xmnb2e5a2c4dwyb4g:443/kubeauth: dial tcp 172.31.9.58:443: getsockopt: connection refused
2018-06-28T16:43:10.601801807Z E0628 16:43:10.601297       1 errors.go:90] Post https://174q5382xmnb2e5a2c4dwyb4g:443/kubeauth: dial tcp 172.31.9.58:443: getsockopt: connection refused
2018-06-28T16:43:37.928158912Z I0628 16:43:37.927838       1 trace.go:76] Trace[2118778029]: "Create /api/v1/namespaces/kube-system/events" (started: 2018-06-28 16:43:37.399367171 +0000 UTC) (total time: 528.4249ms):
2018-06-28T16:43:37.928184023Z Trace[2118778029]: [528.34035ms] [528.249739ms] Object stored in database
2018-06-28T16:43:38.599097392Z I0628 16:43:38.597719       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:56:51.267286791Z I0628 16:56:51.262524       1 server.go:114] Version: v1.8.11-docker-8d637ae
2018-06-28T16:56:51.271111634Z I0628 16:56:51.262751       1 plugins.go:101] No cloud provider specified.
2018-06-28T16:56:51.684161591Z I0628 16:56:51.674297       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:56:51.684280368Z I0628 16:56:51.674815       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:56:51.684294125Z I0628 16:56:51.678522       1 feature_gate.go:162] feature gates: map[Initializers:true]
2018-06-28T16:56:51.684303786Z I0628 16:56:51.678547       1 initialization.go:84] enabled Initializers feature as part of admission plugin setup
2018-06-28T16:56:51.684312913Z W0628 16:56:51.678674       1 admission.go:66] PersistentVolumeLabel admission controller is deprecated. Please remove this controller from your configuration files and scripts.
2018-06-28T16:56:51.698091577Z E0628 16:56:51.688072       1 oidc.go:190] oidc authenticator: failed to fetch provider discovery data: Get https://enzi.example.com/.well-known/openid-configuration: EOF
2018-06-28T16:56:51.750336124Z I0628 16:56:51.749854       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:56:51.753941477Z I0628 16:56:51.753658       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:56:51.756524786Z I0628 16:56:51.756122       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:56:51.756877153Z I0628 16:56:51.756592       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:56:51.757900545Z I0628 16:56:51.757265       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:56:51.759208233Z I0628 16:56:51.757859       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:56:51.759226310Z I0628 16:56:51.758445       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:56:51.767365464Z I0628 16:56:51.765078       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:56:51.767394176Z I0628 16:56:51.765697       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:56:51.769363601Z I0628 16:56:51.766366       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:56:51.769380547Z I0628 16:56:51.767064       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:56:51.769387681Z I0628 16:56:51.767779       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:56:51.769393510Z I0628 16:56:51.768553       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:56:51.771153845Z I0628 16:56:51.770030       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
